Customer Id,Sales per customer,Order Profit Per Order,Sales Segment,Profit Segment
1,472.4500122,159.6900024,Medium,Medium
2,1618.66004179,208.73999938100002,Medium,Medium
3,3189.20003702,334.48999919000005,High,High
4,1480.70999322,-439.979991994,Medium,Low
5,1101.91999814,309.85000229999997,Medium,High
6,2954.32003014,893.64999767,High,High
7,4869.64007194,964.889985775,High,High
8,3411.27000812,529.930004568,High,High
9,2947.46006969,-383.8799985630001,High,Low
10,1130.05000676,-151.22000884,Medium,Low
11,2159.28000637,294.920004666,High,High
12,5553.77004634,899.100009885,High,High
13,2814.86001884,882.2599928559999,High,High
14,2159.24003985,127.279997891,High,Medium
15,226.18000031999998,69.45999717999999,Low,Medium
16,2169.97002785,708.900002442,High,High
17,3882.8100891,541.349996582,High,High
18,3255.3200149,407.05998048000004,High,High
19,3993.23001889,802.34000206,High,High
20,1508.6800307,-757.6400012600001,Medium,Low
21,2517.67000968,815.589997266,High,High
22,2515.20003894,823.930001297,High,High
23,3683.32999017,961.1000023060001,High,High
24,2500.63000503,509.59001113700003,High,High
25,791.3900069599999,191.809998519,Medium,Medium
26,2998.90007785,568.6499997100001,High,High
27,1839.90999985,597.099995133,Medium,High
28,1961.56999982,255.15999986,Medium,Medium
29,1237.6800308,-206.62000176900003,Medium,Low
30,999.20001509,-47.17999693599998,Medium,Low
31,3358.11000065,867.970004959,High,High
32,3082.2800350899997,846.049999204,High,High
33,1183.87001423,405.129997227,Medium,High
34,2687.99003996,468.000008961,High,High
35,2115.82003783,-516.75999827,High,Low
36,1215.1799925999999,243.200002632,Medium,Medium
37,1213.26999274,372.500005976,Medium,High
38,2420.51004416,84.13998792000001,High,Medium
39,2719.75004955,-170.24999360799998,High,Low
40,4634.46003745,507.909983567,High,High
41,2698.4100552,943.729990037,High,High
42,2938.27001182,560.08001135,High,High
43,1098.4800109,-209.40999601,Medium,Low
44,2609.54003521,133.779994682,High,Medium
45,3006.54006197,482.79001336,High,High
46,3521.92005554,183.86000162,High,Medium
47,615.8600006,-139.28999516,Medium,Low
48,3268.6800385,228.63000386999994,High,Medium
49,1226.7800064,19.729998821000002,Medium,Low
50,1866.28002163,-46.610005128999994,Medium,Low
51,4116.67003649,1070.73999315,High,High
52,1758.3500137,273.66998765,Medium,High
53,4357.05006795,986.929994682,High,High
54,2714.00002298,762.79999829,High,High
55,4162.3200072,645.649988816,High,High
56,2245.77000047,404.15000912,High,High
57,1887.7700232500001,-534.959991456,Medium,Low
58,5955.06004358,-384.569992515,High,Low
59,1715.66001129,272.569996839,Medium,High
60,1691.59998702,519.179999321,Medium,High
61,1495.42001348,419.00999641,Medium,High
62,1572.33001706,548.600008956,Medium,High
63,1600.00002294,446.610001823,Medium,High
64,1239.7300339,276.950003621,Medium,High
65,3593.8600502199997,637.750010045,High,High
66,3353.17005919,527.389988582,High,High
67,1757.31004342,459.73000143,Medium,High
68,1474.60002517,349.680000093,Medium,High
69,1393.2400036899999,430.959998944,Medium,High
70,3060.52004613,591.520014311,High,High
71,2636.68002513,71.539996211,High,Medium
72,4608.29005818,726.45998763,High,High
73,2474.4500388799997,-311.450009344,High,Low
74,3080.50000767,129.81998357999996,High,Medium
75,2392.27004248,-594.8999827760001,High,Low
76,2890.74003602,773.110007826,High,High
77,2834.03005407,947.000004544,High,High
78,296.1600036,86.96000099,Low,Medium
79,3504.78006752,871.340003717,High,High
80,1960.19001386,-303.259988812,Medium,Low
81,392.77001192,-69.620003703,Medium,Low
82,2420.28004469,91.279992577,High,Medium
83,2504.070015,565.879994063,High,High
84,2608.95001586,800.99000929,High,High
85,1738.32001508,329.5700016,Medium,High
86,1268.08002084,409.360003955,Medium,High
87,2135.6200257,392.399999058,High,High
88,2233.48999587,357.460004696,High,High
89,1223.62000651,80.61000445,Medium,Medium
90,2776.81003573,507.76999765799997,High,High
91,2966.73003385,391.180006076,High,High
92,2521.78996281,-89.790012264,High,Low
93,1880.64002624,-55.430002207,Medium,Low
94,2425.03002163,-24.75000068799996,High,Low
95,3014.89006057,665.180004006,High,High
96,2552.83004772,392.909994107,High,High
97,2275.85001761,112.27000231,High,Medium
98,3987.73002989,-269.590002532,High,Low
99,2551.42003258,487.120002603,High,High
100,3803.08006272,404.10999781,High,High
101,1833.66004942,374.620001956,Medium,High
102,2980.81004329,893.11000775,High,High
103,2696.0200386300003,378.83999494,High,High
104,562.460022,-928.0599975,Medium,Low
105,1228.92003255,-368.03000734999995,Medium,Low
106,1282.5600051,-173.98999118,Medium,Low
107,1796.78002154,603.60999776,Medium,High
108,2093.71005238,482.9100008,Medium,High
109,3798.20002364,350.12000216,High,High
110,2373.38004296,-455.110006999,High,Low
111,1553.9800300900001,20.020008998000037,Medium,Low
112,2848.1000518399997,671.4299879700001,High,High
113,1515.76000216,473.68999671,Medium,High
114,2665.64004317,319.660012716,High,High
115,975.1200257,269.8599997,Medium,High
116,300.1999969,-51.449999573,Low,Low
117,379.41001132,4.730001457999991,Low,Low
118,2516.54002766,-378.67000304,High,Low
119,3100.45006191,621.469996573,High,High
120,1911.41000372,97.229995821,Medium,Medium
121,764.10000988,294.77000238,Medium,High
122,1828.7599943999999,58.07999800799999,Medium,Medium
123,5835.68009962,1047.290006456,High,High
124,3050.10004046,714.749997173,High,High
125,1919.91000757,677.87999532,Medium,High
126,2266.83000185,295.789999963,High,High
127,1308.97000112,244.290009012,Medium,Medium
128,418.9000092,62.049999712,Medium,Medium
129,2492.18003461,918.33000756,High,High
130,727.75001148,294.65999984,Medium,High
131,1475.76999666,277.90999596,Medium,High
132,1346.32003015,360.919999046,Medium,High
133,1610.5299948900001,-199.000005696,Medium,Low
134,2306.79001055,486.37999985199997,High,High
135,299.980011,-60.0,Low,Low
136,1493.1800288499999,188.979999776,Medium,Medium
137,2472.7900239,-200.24002071,High,Low
138,2147.66003795,-69.36000398099998,High,Low
139,3237.89004138,500.570005948,High,High
140,4125.66003403,520.259995957,High,High
141,3603.69005968,-312.699999258,High,Low
142,4911.64007577,-1189.72999273,High,Low
143,611.3999939,187.03000446,Medium,Medium
144,856.3500061,353.78999711,Medium,High
145,2287.98001485,715.580000963,High,High
146,2087.33997734,723.539992316,Medium,High
147,237.4100037,116.3300018,Low,Medium
148,1882.2500304999999,195.559997188,Medium,Medium
149,2993.7800636399998,-33.119982063999984,High,Low
150,2350.9900360799998,745.93000392,High,High
151,2090.83003246,524.840001614,Medium,High
152,1500.2500153,454.03000117,Medium,High
153,1155.91002278,185.57999707,Medium,Medium
154,6207.5001184,1363.499988793,High,High
155,2245.39000322,-350.859977168,High,Low
156,1849.75003816,642.35000613,Medium,High
157,2005.4800376599999,471.41000801900003,Medium,High
158,678.35999295,72.06000519,Medium,Medium
159,1190.89000031,267.42000168699997,Medium,Medium
160,1978.3200264,-483.10000416,Medium,Low
161,2342.80999744,280.799986846,High,High
162,1401.10001001,339.87999917,Medium,High
163,835.3100129,-272.93000222,Medium,Low
164,2312.02003492,-81.88998792100003,High,Low
165,3738.27005401,1070.459992874,High,High
166,770.96000283,240.00000001,Medium,Medium
167,293.8800049,66.12999821,Low,Medium
168,3020.9600449600002,-1220.419976186,High,Low
169,2549.67002106,523.210006283,High,High
170,1643.09000006,245.34999692399998,Medium,Medium
171,1217.5400124,2.8500094449999978,Medium,Low
172,5966.41004192,757.0399907139999,High,High
173,5144.7100735799995,475.29000547199996,High,High
174,4692.8500824,-4.019988494000003,High,Low
175,4060.1000633,225.85000691499997,High,Medium
176,2230.80000674,451.009989741,High,High
177,588.9700164999999,102.91999817,Medium,Medium
179,1752.36001592,419.870000824,Medium,High
180,2763.16002278,624.389999858,High,High
181,3216.11998087,-83.53000378899998,High,Low
182,3227.68998512,-108.25999403099999,High,Low
183,630.58000564,39.20999813899999,Medium,Medium
184,2088.44000241,65.19999687999999,Medium,Medium
185,1540.18999863,-136.03001388700002,Medium,Low
186,1266.49002837,229.269999933,Medium,Medium
187,4266.01009366,592.929996884,High,High
188,2493.15001297,405.419998957,High,High
189,1622.5400085,547.160001733,Medium,High
190,3398.8500518700002,575.720004554,High,High
191,3042.2500306,-307.86001010999996,High,Low
192,4411.37004281,756.7500174390001,High,High
193,752.6900024,95.180001979,Medium,Medium
194,5074.37004853,1086.989996054,High,High
195,1159.1600189,271.12000466,Medium,High
196,2894.3100225,709.500004579,High,High
197,5702.48007967,688.649985494,High,High
198,2226.03002162,-282.24998283,High,Low
199,3167.79002384,807.819997041,High,High
200,1274.46999361,230.549997331,Medium,Medium
201,139.58000183000001,27.369999409000002,Low,Medium
202,1681.61999885,458.360002297,Medium,High
203,3981.78004074,1101.599994696,High,High
204,1825.88000868,307.790003792,Medium,High
205,3595.11007109,471.210004362,High,High
206,3226.8800470799997,925.419988105,High,High
207,4063.8600195999998,607.710005793,High,High
208,1289.51002502,-3.2500114540000027,Medium,Low
209,2822.06002042,228.33000757699998,High,Medium
210,3098.590017,-548.600013028,High,Low
211,1261.54001992,-376.46002771999997,Medium,Low
212,966.54001811,334.320003075,Medium,High
213,2804.83001323,619.5700059650001,High,High
214,3053.54000757,664.100006078,High,High
215,3403.16006846,758.110003537,High,High
216,2145.93003473,544.54000091,High,High
217,2213.87002946,250.139995388,High,Medium
218,2242.73001096,493.09000517699997,High,High
220,1221.6600226799999,223.400002963,Medium,Medium
221,5762.9400483,1449.2100000990001,High,High
222,3968.2000867399997,173.35999107,High,Medium
223,3181.97003938,-2.1200237149999737,High,Low
224,4050.40005892,888.880013492,High,High
225,3226.70004276,-554.399995241,High,Low
226,1990.260006,53.19999794900001,Medium,Medium
227,1320.48003004,348.359995854,Medium,High
228,3662.32006448,374.29002284800004,High,High
229,3112.11005022,810.180000825,High,High
230,6099.12007929,508.869966576,High,High
231,1726.38001631,224.469997891,Medium,Medium
232,2283.25002673,659.09000403,High,High
233,3519.08002094,762.999992915,High,High
234,1857.97001075,528.300003976,Medium,High
235,2399.2500419,-123.51999288000002,High,Low
236,3398.7200164299998,-611.2499540200001,High,Low
237,885.6200028000001,-172.34998987000003,Medium,Low
238,5159.04005066,775.909981607,High,High
239,1368.95001984,462.52000048,Medium,High
240,838.93000029,86.04999732,Medium,Medium
241,4809.23001106,679.959992437,High,High
242,4530.14009868,158.94003103600005,High,Medium
243,2360.93000803,593.210002935,High,High
244,2391.83002465,21.520006440000046,High,Low
245,4744.32005501,934.389983124,High,High
246,1548.44004058,-38.490009019999995,Medium,Low
247,4469.64009111,1079.35000617,High,High
248,2627.22998811,-249.689998356,High,Low
249,1832.6600189,-486.17997555999995,Medium,Low
250,1395.15002434,377.149993929,Medium,High
251,1408.30000694,383.51000116,Medium,High
252,4241.62006183,810.28000444,High,High
253,249.10999683,-143.439993395,Low,Low
254,4407.17006675,1208.449997108,High,High
255,3066.77001191,-265.960001668,High,Low
256,3601.8400192,1071.670007666,High,High
257,3547.97004718,1047.299980511,High,High
258,3062.12003707,213.10999101599995,High,Medium
259,4151.00003428,230.16000652999998,High,Medium
260,2699.20005793,245.43001505999996,High,Medium
261,1663.3800202,276.7999935,Medium,High
262,1856.64000331,-817.67999451,Medium,Low
263,623.13002016,247.71000765000002,Medium,Medium
264,1902.48004152,471.549993509,Medium,High
265,1339.5900154400001,436.159997004,Medium,High
266,2538.99001678,706.26999571,High,High
267,1320.78000642,300.450001719,Medium,High
268,1595.65999395,413.229996816,Medium,High
269,1259.83002476,-969.59997561,Medium,Low
270,3611.60006908,605.490003536,High,High
271,2671.67003244,5.209995883,High,Low
272,3994.500063962,1435.410002598,High,High
273,1991.89005284,221.430006056,Medium,Medium
274,1426.3900108,154.179995093,Medium,Medium
275,3258.0700226,616.930004809,High,High
276,2899.99002846,8.729995785,High,Low
277,3150.1900406,810.279992013,High,High
278,725.13000868,285.6299934,Medium,High
279,1319.21000871,83.89999904999999,Medium,Medium
280,2573.66997535,412.59000396,High,High
281,1424.4700126399998,389.600002324,Medium,High
282,1494.41999437,87.38999726,Medium,Medium
283,3316.27002332,698.120001778,High,High
284,2405.5600128,475.79000286999997,High,High
285,3921.95005022,133.39998942300005,High,Medium
286,3702.60004046,738.49999237,High,High
287,2868.97004701,529.41000174,High,High
288,3118.83002852,451.269992248,High,High
289,3731.17005749,458.390007746,High,High
290,4150.01003849,445.560000469,High,High
291,5591.82011426,-26.009985109999974,High,Low
292,1099.04001612,147.919986742,Medium,Medium
293,2230.08005519,-91.71999124999999,High,Low
294,2161.0600357,-2.309990903000042,High,Low
295,1306.99003223,-255.32999989900003,Medium,Low
296,4267.32001694,681.940006263,High,High
297,2948.59003813,595.69000144,High,High
298,982.04002378,380.32000354,Medium,High
299,1009.06001661,13.639999869000007,Medium,Low
300,3359.52006539,512.730013227,High,High
301,1026.4799957,279.68999863,Medium,High
302,173.9299927,-133.3999939,Low,Low
303,2559.17002864,338.210001251,High,High
304,1351.4100038,-649.989993099,Medium,Low
305,3047.58007064,118.58000365499994,High,Medium
306,1945.65999978,498.47999189,Medium,High
307,1179.58001907,468.549997642,Medium,High
308,4279.17002501,877.05998731,High,High
309,1331.44000629,-36.069995852999995,Medium,Low
310,1455.37999744,518.969995763,Medium,High
311,3006.06006049,412.580001823,High,High
312,2859.92005348,-679.0800270719999,High,Low
313,1659.6900139,364.76999712500003,Medium,High
314,3635.770012,322.00999737300003,High,High
315,2953.0800171,860.67999839,High,High
316,2347.27004819,735.26000126,High,High
317,2972.93004231,911.58001538,High,High
318,3204.240036,-784.869983648,High,Low
319,3099.75004576,562.11998939,High,High
320,1793.26000035,429.449995006,Medium,High
321,3953.8400499199997,735.179994424,High,High
322,622.24001312,-288.6000061,Medium,Low
